case_id,object_id,window,throughput (ops/s)
29,21,71,93258476
29,21,72,75369272
29,21,73,93103218
29,21,74,81919921
29,21,75,1656843
29,21,76,2624430
29,21,77,104661260
29,21,78,86480412
29,21,79,114598360
29,21,80,98284710
29,21,81,116185595
29,21,82,86614352
29,21,83,84647830
29,21,84,102113207
29,21,85,113820895
29,21,86,100703481
29,21,87,84054108
29,21,88,89813704
29,21,89,81800097
29,21,90,86838509
29,21,91,82932278
29,21,92,97034123
29,21,93,83096582
29,21,94,87472367
29,21,95,108100515
29,21,96,88023084
29,21,97,101989057
29,21,98,89003713
29,21,99,103054054
29,21,100,84272727
29,24,1,7655229
29,24,2,9457271
29,24,3,9496886
29,24,4,9369596
29,24,5,9244145
29,24,6,9108637
29,24,7,7544383
29,24,8,8519804
29,24,9,8041219
29,24,10,7930232
29,24,11,7703383
29,24,12,7693845
29,24,13,6223227
29,24,14,7159952
29,24,15,6949958
29,24,16,5816933
29,24,17,6436183
29,24,18,6719480
29,24,19,6792113
29,24,20,6930149
29,24,21,6046055
29,24,22,6483691
29,24,23,5997211
29,24,24,5944723
29,24,25,4690692
29,24,26,6451528
29,24,27,5581237
29,24,28,5890457
29,24,29,5536664
29,24,30,5174155
29,24,31,5640153
29,24,32,5429690
29,24,33,5113752
29,24,34,5319003
29,24,35,4953117
29,24,36,4804742
29,24,37,4901744
29,24,38,4738920
29,24,39,4465821
29,24,40,4713093
29,24,41,5200942
29,24,42,4782145
29,24,43,4735041
29,24,44,4322683
29,24,45,4321347
29,24,46,4284160
29,24,47,4078967
29,24,48,4114378
29,24,49,3939142
29,24,50,2646496
29,24,51,3246048
29,24,52,3909857
29,24,53,3816903
29,24,54,3666105
29,24,55,3673812
29,24,56,4197028
29,24,57,4025143
29,24,58,3702595
29,24,59,4080753
29,24,60,3367360
29,24,61,3748759
29,24,62,3430008
29,24,63,3381409
29,24,64,3747671
29,24,65,3097939
29,24,66,3369050
29,24,67,3066961
29,24,68,3574484
29,24,69,3595165
29,24,70,3158120
29,24,71,3090406
29,24,72,3354299
29,24,73,3454017
29,24,74,3137097
29,24,75,3081947
29,24,76,2812701
29,24,77,2907257
29,24,78,2683922
29,24,79,3156753
29,24,80,3149583
29,24,81,2831929
29,24,82,2608801
29,24,83,2459855
29,24,84,2668639
29,24,85,2990694
29,24,86,2767784
29,24,87,2879069
29,24,88,2774650
29,24,89,2682978
29,24,90,2934462
29,24,91,2568148
29,24,92,2740163
29,24,93,2643410
29,24,94,2792476
29,24,95,2530574
29,24,96,2476558
29,24,97,2536887
29,24,98,2560857
29,24,99,2289808
29,24,100,1510206
29,25,1,20911379
29,25,2,72817708
29,25,3,66182248
29,25,4,71514066
29,25,5,18585576
29,25,6,12105635
29,25,7,13352327
29,25,8,12496983
29,25,9,11111464
29,25,10,10203868
29,25,11,13486495
29,25,12,12922437
29,25,13,23259670
29,25,14,14656416
29,25,15,11046352
29,25,16,22286397
29,25,17,21487192
29,25,18,11595272
29,25,19,9507650
29,25,20,18556796
29,25,21,16972382
29,25,22,19897058
29,25,23,18672454
29,25,24,18989473
29,25,25,17874707
29,25,26,4584686
29,25,27,53345627
29,25,28,18935891
29,25,29,15782878
29,25,30,13499517
29,25,31,55961307
29,25,32,16328175
29,25,33,14816921
29,25,34,55333773
29,25,35,15393338
29,25,36,12777760
29,25,37,55170009
29,25,38,8543667
29,25,39,55812375
29,25,40,15147345
29,25,41,46269167
29,25,42,14845765
29,25,43,55025254
29,25,44,14766062
29,25,45,55516876
29,25,46,14558486
29,25,47,55297297
29,25,48,14169932
29,25,49,54845374
29,25,50,12820724
29,25,51,55188157
29,25,52,4915963
29,25,53,61253012
29,25,54,61612926
29,25,55,12416518
29,25,56,61230656
29,25,57,8243919
29,25,58,68618404
29,25,59,63119638
29,25,60,13192734
29,25,61,60897277
29,25,62,54137463
29,25,63,12483964
29,25,64,62345596
29,25,65,62415178
29,25,66,11922399
29,25,67,61297771
29,25,68,69992490
29,25,69,11787536
29,25,70,66549781
29,25,71,63214770
29,25,72,11678407
29,25,73,61840029
29,25,74,69241436
29,25,75,63001126
29,25,76,6166047
29,25,77,60633176
29,25,78,68562321
29,25,79,10222520
29,25,80,61703567
29,25,81,62045857
29,25,82,70819755
29,25,83,10398661
29,25,84,68172287
29,25,85,61185995
29,25,86,64652023
29,25,87,9846930
29,25,88,66523394
29,25,89,61119125
29,25,90,50655797
29,25,91,9377452
29,25,92,61119125
29,25,93,62022920
29,25,94,70197489
29,25,95,9197017
29,25,96,39107692
29,25,97,36921654
29,25,98,67622732
29,25,99,3507379
29,25,100,62583737
